field_1,lat,lng,time,population,popxtime
392,30.151600000000077,-97.848810000000071,609.000000000000000,2328.626953125000000,1418133.814453125000000
393,30.151600000000077,-97.843810000000076,629.000000000000000,2328.626953125000000,1464706.353515625000000
394,30.151600000000077,-97.838810000000095,702.000000000000000,2506.325927734375000,1759440.801269531250000
395,30.151600000000077,-97.828810000000075,589.000000000000000,2053.269042968750000,1209375.466308593750000
396,30.151600000000077,-97.813810000000132,533.000000000000000,1508.869995117187500,804227.707397460937500
397,30.151600000000077,-97.808810000000136,483.000000000000000,1508.869995117187500,728784.207641601562500
398,30.151600000000077,-97.803810000000126,566.000000000000000,892.185302734375000,504976.881347656250000
399,30.151600000000077,-97.798810000000131,483.000000000000000,453.984313964843750,219274.423645019531250
400,30.151600000000077,-97.788810000000140,525.000000000000000,1871.947021484375000,982772.186279296875000
401,30.151600000000077,-97.783810000000130,517.000000000000000,1871.947021484375000,967796.610107421875000
402,30.151600000000077,-97.753810000000158,611.000000000000000,148.082000732421875,90478.102447509765625
403,30.146600000000078,-97.863810000000072,994.000000000000000,198.242797851562500,197053.341064453125000
404,30.146600000000078,-97.858810000000076,597.000000000000000,198.242797851562500,118350.950317382812500
405,30.146600000000078,-97.853810000000081,546.000000000000000,377.888000488281250,206326.848266601562500
406,30.146600000000078,-97.843810000000076,662.000000000000000,696.807800292968750,461286.763793945312500
407,30.146600000000078,-97.838810000000095,714.000000000000000,1018.271972656250000,727046.188476562500000
408,30.146600000000078,-97.793810000000136,774.000000000000000,765.721984863281250,592668.816284179687500
409,30.146600000000078,-97.788810000000140,515.000000000000000,1574.904052734375000,811075.587158203125000
410,30.146600000000078,-97.783810000000130,658.000000000000000,1574.904052734375000,1036286.866699218750000
411,30.146600000000078,-97.778810000000149,730.000000000000000,945.650085449218750,690324.562377929687500
412,30.146600000000078,-97.738810000000214,498.000000000000000,410.845703125000000,204601.160156250000000
413,30.141600000000075,-97.853810000000081,769.000000000000000,377.888000488281250,290595.872375488281250
414,30.141600000000075,-97.848810000000071,619.000000000000000,696.807800292968750,431324.028381347656250
415,30.141600000000075,-97.793810000000136,540.000000000000000,765.721984863281250,413489.871826171875000
416,30.141600000000075,-97.788810000000140,570.000000000000000,1574.904052734375000,897695.310058593750000
418,30.141600000000075,-97.778810000000149,706.000000000000000,945.650085449218750,667628.960327148437500
419,30.141600000000075,-97.773810000000154,567.000000000000000,566.843017578125000,321399.990966796875000
420,30.141600000000075,-97.768810000000158,583.000000000000000,566.843017578125000,330469.479248046875000
421,30.141600000000075,-97.763810000000149,583.000000000000000,183.223098754882812,106819.066574096679688
422,30.136600000000076,-97.803810000000126,604.000000000000000,626.491210937500000,378400.691406250000000
423,30.136600000000076,-97.798810000000131,563.000000000000000,761.708129882812500,428841.677124023437500
424,30.136600000000076,-97.793810000000136,561.000000000000000,761.708129882812500,427318.260864257812500
425,30.136600000000076,-97.788810000000140,591.000000000000000,694.270385742187500,410313.797973632812500
426,30.136600000000076,-97.783810000000130,702.000000000000000,694.270385742187500,487377.810791015625000
427,30.136600000000076,-97.778810000000149,720.000000000000000,546.522399902343864,393496.127929687558208
428,30.136600000000076,-97.773810000000154,594.000000000000000,718.769226074218750,426948.920288085937500
429,30.136600000000076,-97.768810000000158,685.000000000000000,718.769226074218750,492356.919860839843750
430,30.131600000000077,-97.798810000000131,525.000000000000000,0.050060309469700,26.281662471592426
433,30.131600000000077,-97.783810000000130,629.000000000000000,216.658798217773438,136278.384078979492188
434,30.131600000000077,-97.778810000000149,648.000000000000000,179.661193847656250,116420.453613281250000
435,30.131600000000077,-97.773810000000154,696.000000000000000,12.985589981079102,9037.970626831054688
436,30.131600000000077,-97.768810000000158,710.000000000000000,12.985589981079102,9219.768886566162109
437,30.121600000000075,-97.803810000000126,679.000000000000000,1.319960951805115,896.253486275672913
438,30.106600000000075,-97.808810000000136,538.000000000000000,39.137550354003906,21056.002090454101562
